b1,1CC rate,2CC rate,Game 1 rate,N,CC rate,strat,strat_space,transition,eps,beta
1.8,0.11649840677851107,0.10785223424022579,0.4191699349889235,2,0.22435064101873686,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11573047808425059,0.10825330443930119,0.4158670254361298,2,0.22398378252355178,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11648143642923826,0.10789881366918043,0.41472919883559073,2,0.2243802500984187,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11683093133405853,0.10772647616145463,0.41833189093252776,2,0.22455740749551317,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11558698717798223,0.10765111067466125,0.41669922166136114,2,0.22323809785264348,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1269506273671001,0.0723362775065259,0.44805478709611496,4,0.199286904873626,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1298131589487822,0.07231617004707175,0.44507740483787017,4,0.20212932899585395,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1244212895635678,0.07286882850517533,0.44810955576543315,4,0.19729011806874314,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1282147804430878,0.07063777545252833,0.4507674890447334,4,0.19885255589561612,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.12789370864996816,0.0728066236223814,0.4471162458523154,4,0.20070033227234957,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.14919373066040947,0.050661796200070205,0.47077904896886796,8,0.1998555268604797,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1448794605888368,0.05170463945857867,0.47619992049739795,8,0.19658410004741547,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.14521103949992262,0.05068580515018192,0.4776555184866437,8,0.19589684465010454,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.14712347097995618,0.051043486455017335,0.4781691090001842,8,0.1981669574349735,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1480296392300356,0.05101595799156368,0.4789491267569108,8,0.19904559722159926,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.16659876998552908,0.04070774809143693,0.5088151688896564,16,0.207306518076966,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.17419419127224922,0.04139969443925462,0.5078749710719792,16,0.21559388571150384,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.16918688045568592,0.039635024340717,0.5010460626361741,16,0.20882190479640292,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.17008156834078242,0.04069896069006431,0.5121616485519911,16,0.21078052903084674,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.18078477219739225,0.04012073209226421,0.5311204458106391,16,0.22090550428965647,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.20620002928713746,0.032779716660524684,0.5368619041172411,32,0.23897974594766214,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.20221385866942163,0.034793609491559664,0.5436837696383919,32,0.23700746816098128,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.20532282213747519,0.03272267144222718,0.5454658922870103,32,0.23804549357970237,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.20809091008754085,0.0327159811315357,0.5379948346059377,32,0.24080689121907656,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.2154436317023474,0.032738363474501514,0.5342635830456086,32,0.2481819951768489,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.3655414705873008,0.020980958368772975,0.644659539233348,64,0.38652242895607375,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.353589916025592,0.021638460072986816,0.6426290702785882,64,0.3752283760985788,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.37045330754022454,0.02152972069559258,0.6413145938049282,64,0.3919830282358171,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.38309963416121995,0.022666925143126807,0.642233672860981,64,0.40576655930434674,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.3729189733452437,0.021914343025726844,0.6488106198716214,64,0.3948333163709706,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.6818220171148642,0.011685423780276061,0.8313209814887662,128,0.6935074408951403,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.6367282481579417,0.011144010485171281,0.796935568758346,128,0.647872258643113,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.6887434339923917,0.010943288188728242,0.8334157579165415,128,0.6996867221811199,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.7432183043442342,0.009674535245859626,0.8687353451587837,128,0.7528928395900938,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.7161445108558326,0.010704041826452501,0.8348960727018502,128,0.7268485526822851,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
